date,open,high,low,close,volume
1/1/2018 1:00,727.029312,731.9870823,716.8529627,718.0154059,2320.961658
1/1/2018 2:00,717.7045988,725.8012107,717.6248232,724.105981,2172.553573
1/1/2018 3:00,723.9502274,738.0173322,722.5967652,734.4795349,2170.776746
1/1/2018 4:00,734.9677023,744.9756209,729.9363532,744.8163358,2345.819307
1/1/2018 5:00,744.779836,749.9987383,742.0804037,748.9889507,2289.674144
1/1/2018 6:00,748.9049647,762.1675093,746.2077336,762.1675093,2506.699413
1/1/2018 7:00,762.1695242,763.5555475,750,752.00549,2365.723581
1/1/2018 8:00,751.8031478,758.1361844,737.4592769,745.0600042,2388.807283
1/1/2018 9:00,744.0754139,754.9936305,744.0754139,753.2039228,1817.902393
1/1/2018 10:00,754.1785681,759.0205967,749.9631428,757.1226564,1621.628856
1/1/2018 11:00,757.0439623,758.0324054,730.5968832,741.0488703,3122.487655
1/1/2018 12:00,741.0286549,748.860592,737.7135636,745.0684773,2268.495186
1/1/2018 13:00,746.4883168,747.1004082,729.7594284,738.9895506,2722.901973
1/1/2018 14:00,738.9647884,744.6372475,724.1444904,742.7098099,3776.662779
1/1/2018 15:00,742.3411539,752.2937164,738.3135653,748.8343766,2542.060388
1/1/2018 16:00,748.2957579,748.9563515,732.9714287,739.1479558,1892.166211
1/1/2018 17:00,739.3725769,747.2838187,735.6513992,737.0768757,2251.806853
1/1/2018 18:00,737.0232421,743.7191528,734.0265728,743.0332341,1634.22934
1/1/2018 19:00,743.0548347,750.291417,741.6609189,746.564764,2009.833483
1/1/2018 20:00,746.2666155,758.2786679,744.3904399,757.4110426,1984.372508
1/1/2018 21:00,757.7977228,762.9493207,756.4183942,759.1626108,2009.466159
1/1/2018 22:00,759.1498661,761.1359617,752.1384384,754.668421,1630.622803
1/1/2018 23:00,754.7317999,757.8775305,750.4309723,755.0436684,2115.520399
1/2/2018 0:00,755.0525807,786.5897267,749.1755199,784.6976844,4761.364229
1/2/2018 1:00,784.7067835,869.5905804,780.3170886,854.0235134,7119.779546
1/2/2018 2:00,850.199598,899.4636232,827.007467,857.9700172,16174.17414
1/2/2018 3:00,857.9506152,857.9905683,825.260252,826.9470418,7042.38926
1/2/2018 4:00,827.0294201,850.02942,816.9841584,834.0158218,6923.837901
1/2/2018 5:00,834.0116449,855.2752163,833.7421757,842.2708323,3652.938635
1/2/2018 6:00,842.6266294,857.4386087,842.1539313,846.7366618,2671.661512
1/2/2018 7:00,847.2870497,852.2577774,841.8762067,847.8539767,2422.521673
1/2/2018 8:00,847.9985959,848.2349744,835.899647,836.6417406,3285.771999
1/2/2018 9:00,837.8882809,840.1584721,825.2004989,837.2025293,3021.770791
1/2/2018 10:00,837.1055699,849.9774841,836.2391525,848.5805528,2704.189745
1/2/2018 11:00,848.2231484,854.0268601,843.1441657,849.1418255,3221.707035
1/2/2018 12:00,849.5817562,854.4981801,840.02475,843.1632849,3368.101029
1/2/2018 13:00,843.1603046,861.9275557,835.8417727,861.9275557,4386.394946
1/2/2018 14:00,861.9082598,866.7085314,850.0105654,857.0124371,3604.317182
1/2/2018 15:00,856.916741,866.109612,855.7731813,865.5166148,5083.304354
1/2/2018 16:00,865.5443753,877.9889967,859.9877741,861.9987774,4940.627516
1/2/2018 17:00,861.9944557,867.7783771,858.4343147,867.6587097,3155.315619
1/2/2018 18:00,867.6857771,874.3253376,831.1853058,854.9379591,5958.105447
1/2/2018 19:00,854.7127802,854.9352923,810.0157664,850.9742201,8587.368243
1/2/2018 20:00,850.9481685,855.0101347,831.0091212,853.4563486,3558.015134
1/2/2018 21:00,853.3859947,869.4175664,849.588522,860.5274779,3285.911929
1/2/2018 22:00,860.5680974,864.5017627,835.5683318,852.5848335,2497.115025
1/2/2018 23:00,852.927139,862.0297464,850.1445132,855.0429908,2299.584993
1/3/2018 0:00,854.9336979,878.8676615,854.6288358,876.0134497,3133.043136
1/3/2018 1:00,876.2554822,884.9008963,860.0754714,865.0049194,3948.70548
1/3/2018 2:00,864.904664,867.9262286,853.9682213,859.664578,3250.389487
1/3/2018 3:00,857.0197747,867.2661949,850.0298501,853.1470871,3492.041442
1/3/2018 4:00,854.1982974,865.000159,853.0729207,861.3613297,3017.96551
1/3/2018 5:00,862.4803369,877.9853707,861.2438441,876.0599872,3364.042948
1/3/2018 6:00,876.0713355,876.989933,866.7379722,873.9936615,4380.44229
1/3/2018 7:00,874.9032103,879.4807462,869.8846267,875.9828396,2699.908014
1/3/2018 8:00,876.0005856,877.6238612,863.3810056,867.6315264,3502.342687
1/3/2018 9:00,868.709359,869.4784729,841.9669812,843.0172125,5863.160853
1/3/2018 10:00,843.0211558,849.5559118,820.0604452,846.1701127,6272.898234
1/3/2018 11:00,846.2200998,865.0116436,843.2730103,863.0525484,3392.857688
1/3/2018 12:00,863.3307612,864.9976302,847.0274654,849.9379598,3103.749756
1/3/2018 13:00,850.0285248,870,810.2811414,869.4254354,3738.077231
1/3/2018 14:00,868.072826,874.8913046,863.1304358,868.9141304,3684.808493
1/3/2018 15:00,868.8644115,876.0890034,867.3801386,876.0890034,2979.401487
1/3/2018 16:00,875.9875849,877.8736741,859.861023,871.0178895,3082.826653
1/3/2018 17:00,871.0173095,877.8180882,868.6535612,871.3692753,2445.981815
1/3/2018 18:00,871.4488901,944.8620021,867.6044354,923.9969689,6216.313844
1/3/2018 19:00,923.0046973,928.7382828,904.2388751,917.6690291,4891.917173
1/3/2018 20:00,917.6991084,920.1152532,910.042625,913.1540253,3071.644536
1/3/2018 21:00,913.0271818,924.0621667,904.0611102,917.4438478,2253.501348
1/3/2018 22:00,917.1181453,950.1087802,916.0486831,946.2177217,2690.495327
1/3/2018 23:00,946.1746391,948.3969723,929.0582681,934.0782485,5002.760334
1/4/2018 0:00,934.106983,935.5387084,900.298848,919.5141155,3712.82821
1/4/2018 1:00,920.3666366,928.1651995,912.5949716,920.2145625,4750.740351
1/4/2018 2:00,922.4566155,931.0871056,917.0224789,926.6653076,4882.297594
1/4/2018 3:00,928.998961,929.7532973,920.4494023,926.0937417,20.121912
1/4/2018 4:00,959.999999,959.999999,908.000005,920.000009,24.926766
